Timestamp,Pod1,Pod2,Pod3,Pod4,Pod5,Pod6,Pod7,Pod8
2025-05-16 15:34:58.988,-3,-1,0,-1,-1,-3,1,-1
2025-05-16 15:34:59.000,-3,-1,0,-1,-1,-3,1,-1
2025-05-16 15:34:59.013,-2,-3,-2,-3,2,4,5,-1
2025-05-16 15:34:59.028,2,0,0,0,-2,-1,1,-2
2025-05-16 15:34:59.041,-6,0,-1,0,-3,-1,-8,-2
2025-05-16 15:34:59.055,0,-2,0,-3,0,-6,-4,0
2025-05-16 15:34:59.069,2,-1,-2,-1,-3,0,5,1
2025-05-16 15:34:59.083,-4,-4,1,-1,1,3,2,1
2025-05-16 15:34:59.097,-4,-4,1,-1,1,3,2,1
2025-05-16 15:34:59.114,-3,-2,1,-1,-1,2,-15,-2
2025-05-16 15:34:59.126,-3,-2,1,-1,-1,2,-15,-2
2025-05-16 15:34:59.140,-3,-1,-2,-2,-1,0,4,-3
2025-05-16 15:34:59.152,-3,-1,-2,-2,-1,0,4,-3
2025-05-16 15:34:59.167,0,-3,-5,-2,-2,-6,-13,-5
2025-05-16 15:34:59.184,1,-2,2,0,-2,-3,4,0
2025-05-16 15:34:59.195,1,-2,2,0,-2,-3,4,0
2025-05-16 15:34:59.208,4,0,2,1,0,8,9,3
2025-05-16 15:34:59.222,4,0,2,1,0,8,9,3
2025-05-16 15:34:59.235,-8,-1,-1,-2,-1,0,7,-4
2025-05-16 15:34:59.249,-1,-2,-1,-2,-1,-1,5,0
2025-05-16 15:34:59.264,0,0,-1,1,-1,5,6,1
2025-05-16 15:34:59.278,7,-1,-2,-2,-1,-10,-17,-2
2025-05-16 15:34:59.293,0,-2,-2,-1,-1,-4,0,5
2025-05-16 15:34:59.306,4,0,-1,-1,-1,1,-1,-3
2025-05-16 15:34:59.319,-3,0,-2,-2,-2,-1,0,-1
2025-05-16 15:34:59.333,-3,-2,-1,0,0,3,3,-2
2025-05-16 15:34:59.347,-8,-2,0,-1,-1,-6,-20,-2
2025-05-16 15:34:59.360,-8,-2,0,-1,-1,-6,-20,-2
2025-05-16 15:34:59.375,-8,-2,0,-1,-1,-6,-20,-2
2025-05-16 15:34:59.389,-7,-3,-2,-1,-1,-3,-9,-2
2025-05-16 15:34:59.403,3,1,-2,-3,-1,1,8,1
2025-05-16 15:34:59.416,3,1,-2,-3,-1,1,8,1
2025-05-16 15:34:59.430,-9,-1,-2,-1,0,3,7,1
2025-05-16 15:34:59.447,-9,-1,-2,-1,0,3,7,1
2025-05-16 15:34:59.458,-4,-1,-2,-2,-4,-7,-22,-1
2025-05-16 15:34:59.472,2,-3,0,-1,-2,-1,-6,0
2025-05-16 15:34:59.486,4,-2,0,-1,0,-2,1,0
2025-05-16 15:34:59.500,2,0,-1,0,-1,-1,-2,-3
2025-05-16 15:34:59.513,-5,-2,-1,0,0,8,14,1
2025-05-16 15:34:59.534,1,-1,-1,0,1,2,-3,-2
2025-05-16 15:34:59.543,-2,-2,-2,-4,-2,0,0,-2
2025-05-16 15:34:59.556,-5,0,-1,-3,0,-6,-5,0
2025-05-16 15:34:59.569,9,2,0,1,0,-5,-2,1
2025-05-16 15:34:59.581,9,2,0,1,0,-5,-2,1
2025-05-16 15:34:59.601,22,-1,-1,0,-2,-5,-14,-4
2025-05-16 15:34:59.612,6,-2,0,-2,-2,8,8,0
2025-05-16 15:34:59.624,6,-2,0,-2,-2,8,8,0
2025-05-16 15:34:59.638,6,-2,0,-2,-2,8,8,0
2025-05-16 15:34:59.653,4,-1,-4,-1,-1,-3,-8,-1
2025-05-16 15:34:59.666,-3,-2,0,-1,-2,-3,3,0
2025-05-16 15:34:59.680,-3,-2,0,-1,-2,-3,3,0
2025-05-16 15:34:59.694,5,-2,0,0,0,3,7,5
2025-05-16 15:34:59.708,-9,-2,-1,-2,0,4,20,4
2025-05-16 15:34:59.722,-9,-2,-1,-2,0,4,20,4
2025-05-16 15:34:59.736,-9,-2,-1,-2,0,4,20,4
2025-05-16 15:34:59.751,22,-2,-1,-2,-1,-4,-11,-6
2025-05-16 15:34:59.763,6,0,-2,-4,-1,-2,-3,-1
2025-05-16 15:34:59.777,3,1,1,0,1,4,2,-3
2025-05-16 15:34:59.792,8,-3,-3,-2,-4,-8,-5,-3
2025-05-16 15:34:59.805,7,0,0,1,-1,5,17,-1
2025-05-16 15:34:59.820,-1,1,1,0,3,-3,-6,-1
2025-05-16 15:34:59.833,-2,-1,0,-1,-1,0,6,-2
2025-05-16 15:34:59.847,-2,-1,0,-1,-1,0,6,-2
2025-05-16 15:34:59.862,-2,-1,-1,-1,-1,-5,10,0
2025-05-16 15:34:59.876,-2,-1,-1,-1,-1,-5,10,0
2025-05-16 15:34:59.889,-2,-1,-1,-1,-1,-5,10,0
2025-05-16 15:34:59.904,-2,-1,-3,0,-2,-5,-9,2
2025-05-16 15:34:59.916,-2,-1,-3,0,-2,-5,-9,2
2025-05-16 15:34:59.930,-1,-4,-2,0,1,-3,-9,-5
2025-05-16 15:34:59.944,4,-1,1,-2,0,1,0,-3
2025-05-16 15:34:59.958,4,-1,1,-2,0,1,0,-3
2025-05-16 15:34:59.972,0,0,1,0,0,1,8,0
2025-05-16 15:34:59.990,0,0,1,0,0,1,8,0
2025-05-16 15:35:00.002,-16,-2,-1,-3,-1,-1,2,-4
2025-05-16 15:35:00.016,-16,-2,-1,-3,-1,-1,2,-4
2025-05-16 15:35:00.029,5,-2,-1,-2,-3,-3,-13,-5
2025-05-16 15:35:00.044,5,-2,-1,-2,-3,-3,-13,-5
2025-05-16 15:35:00.058,-5,-2,-1,-2,-1,-4,-10,-1
2025-05-16 15:35:00.071,34,1,-2,1,0,1,1,-2
2025-05-16 15:35:00.085,-7,-2,0,-1,-1,5,7,1
2025-05-16 15:35:00.099,-7,-2,0,-1,-1,5,7,1
2025-05-16 15:35:00.113,-7,-2,0,-2,-1,-1,8,2
2025-05-16 15:35:00.127,19,2,-2,0,1,0,-2,-2
2025-05-16 15:35:00.147,2,-1,-1,0,-2,-3,-6,0
2025-05-16 15:35:00.162,2,-1,-1,0,-2,-3,-6,0
2025-05-16 15:35:00.176,2,-1,-1,0,-2,-3,-6,0
2025-05-16 15:35:00.193,-10,-3,-1,-2,0,-1,2,-1
2025-05-16 15:35:00.214,-4,0,0,1,-1,0,4,-2
2025-05-16 15:35:00.225,-4,0,0,1,-1,0,4,-2
2025-05-16 15:35:00.239,-4,-2,-1,-3,0,11,33,0
2025-05-16 15:35:00.253,-1,-1,-1,-1,-2,-9,-25,-2
2025-05-16 15:35:00.266,-11,-2,1,-1,-1,-8,-17,2
2025-05-16 15:35:00.279,-11,-2,1,-1,-1,-8,-17,2
2025-05-16 15:35:00.294,-1,1,-2,0,0,-5,-15,-4
2025-05-16 15:35:00.308,9,1,-1,-1,0,-4,-11,-2
2025-05-16 15:35:00.321,0,-1,-1,0,0,2,8,-1
2025-05-16 15:35:00.343,-2,-1,1,1,1,3,8,-1
2025-05-16 15:35:00.353,-2,-1,1,1,1,3,8,-1
2025-05-16 15:35:00.378,0,1,0,1,-2,-7,-6,-3
2025-05-16 15:35:00.388,-5,-1,0,-2,-3,-1,-7,0
2025-05-16 15:35:00.399,-5,-1,0,-2,-3,-1,-7,0
2025-05-16 15:35:00.412,8,-1,-3,-2,2,-5,-4,0
2025-05-16 15:35:00.423,-3,-1,-2,0,-3,-3,-1,-3
2025-05-16 15:35:00.435,8,-1,-1,-1,-2,-2,-3,-5
2025-05-16 15:35:00.455,-4,-1,-2,0,-2,9,24,0
2025-05-16 15:35:00.466,-4,-1,-2,0,-2,9,24,0
2025-05-16 15:35:00.480,-5,-2,-1,-3,-1,-4,-8,-3
2025-05-16 15:35:00.495,-6,-1,-1,0,2,-4,-7,1
2025-05-16 15:35:00.509,-6,-1,-1,0,2,-4,-7,1
2025-05-16 15:35:00.525,-3,-1,0,1,-2,2,-5,-1
2025-05-16 15:35:00.537,-3,-1,-2,-3,-1,-7,-8,-3
