Timestamp,Pod1,Pod2,Pod3,Pod4,Pod5,Pod6,Pod7,Pod8
2025-05-16 14:04:21.242,1,0,-2,-1,-1,-1,-1,0
2025-05-16 14:04:21.255,-1,-1,0,-1,-1,0,-1,-1
2025-05-16 14:04:21.270,0,0,-1,0,0,-1,-3,-1
2025-05-16 14:04:21.283,-2,-2,0,-1,-1,-1,-1,0
2025-05-16 14:04:21.297,-2,-2,0,-1,-1,-1,-1,0
2025-05-16 14:04:21.311,0,-2,-1,2,0,-1,-2,0
2025-05-16 14:04:21.331,-1,-1,-1,-1,-2,-1,-1,-1
2025-05-16 14:04:21.341,-1,-1,-1,-1,-2,-1,-1,-1
2025-05-16 14:04:21.356,-2,-2,-1,-1,-1,-1,-1,-2
2025-05-16 14:04:21.371,-1,1,-2,-1,0,-2,-2,-2
2025-05-16 14:04:21.385,0,-2,-1,-2,-1,-1,-2,-2
2025-05-16 14:04:21.399,-1,-1,-2,-1,-1,0,0,0
2025-05-16 14:04:21.412,0,2,-2,-1,-1,-1,-1,-1
2025-05-16 14:04:21.426,0,-1,0,0,0,-2,0,-1
2025-05-16 14:04:21.440,0,-2,-1,-1,-3,-1,-1,-2
2025-05-16 14:04:21.455,0,-2,-1,-1,-3,-1,-1,-2
2025-05-16 14:04:21.468,-1,-1,0,0,0,0,1,0
2025-05-16 14:04:21.482,5,-1,-2,-1,-2,-2,-1,-1
2025-05-16 14:04:21.496,-1,-1,1,-1,-1,1,0,-1
2025-05-16 14:04:21.510,1,-3,-1,0,-1,-1,0,0
2025-05-16 14:04:21.524,0,0,-3,-1,-3,-2,0,-1
2025-05-16 14:04:21.538,0,0,-3,-1,-3,-2,0,-1
2025-05-16 14:04:21.552,0,0,-3,-1,-3,-2,0,-1
2025-05-16 14:04:21.565,0,0,-3,-1,-3,-2,0,-1
2025-05-16 14:04:21.579,0,0,-3,-1,-3,-2,0,-1
2025-05-16 14:04:21.592,-2,-1,1,-2,0,-1,-1,-2
2025-05-16 14:04:21.608,-1,0,0,-1,-2,0,0,-1
2025-05-16 14:04:21.620,-2,0,1,-3,-1,-1,-1,-1
2025-05-16 14:04:21.635,-2,0,1,-3,-1,-1,-1,-1
2025-05-16 14:04:21.648,-2,-1,-2,-1,0,0,0,0
2025-05-16 14:04:21.662,-1,-2,0,0,-1,-2,-1,-1
2025-05-16 14:04:21.676,-1,-2,0,0,-1,-2,-1,-1
2025-05-16 14:04:21.690,-1,-2,0,0,-1,-2,-1,-1
2025-05-16 14:04:21.704,1,1,-1,-2,-1,0,-1,0
2025-05-16 14:04:21.718,1,1,-1,-2,-1,0,-1,0
